date,open,high,low,close,volume,Name
2017-08-28,45.23,45.3718,44.78,44.95,6969256,AAL
2017-02-15,47.59,48.05,46.93,47.54,8394814,AAL
2016-11-04,39.27,40.22,39.24,39.74,6717513,AAL
2017-04-13,43.95,44.02,43.335,43.35,5504930,AAL
2017-12-06,49.39,49.81,49.19,49.61,2835542,AAL
2015-07-10,40.51,41.64,40.5,41.21,16451679,AAL
2017-05-08,44.6,45.045,44.515,44.94,6190660,AAL
2017-03-16,42.18,42.35,41.45,42.13,7058267,AAL
2014-12-03,47.74,48.47,46.925,48.24,8917697,AAL
2015-06-26,42.44,42.58,41.33,41.44,9819882,AAL
2014-04-15,33.52,34.33,31.86,33.72,15981721,AAL
2013-09-11,18.03,18.04,17.31,17.72,6391100,AAL
2017-07-28,49.02,50.67,48.73,50.49,9153445,AAL
2016-09-29,35.65,36.6,35.6,35.82,6183332,AAL
2014-01-13,29.18,29.53,28.58,28.65,10591701,AAL
2015-05-04,49.41,50.08,48.8,48.95,5589831,AAL
2016-01-27,40.15,40.87,39.48,39.69,10185956,AAL
2014-08-01,38.75,39.53,38.43,39.43,8978315,AAL
2017-03-03,45.85,47.26,45.77,46.82,7259147,AAL
2014-03-26,38.15,38.26,36.64,36.7,7322443,AAL
2017-07-18,53.83,53.84,53.02,53.15,4101431,AAL
2016-03-15,42.3,42.4866,41.98,42.11,4445364,AAL
2015-01-13,50.12,51.43,49.46,50.4,12259271,AAL
2016-05-23,32.03,32.29,31.7,31.73,6498413,AAL
2016-09-19,35.66,36.11,35.35,35.44,5422349,AAL
2016-08-01,35.54,35.75,35.1,35.6,7058968,AAL
2015-05-28,42.25,42.5,41.77,41.97,9238835,AAL
2014-06-26,43.96,44.6,43.5,44.55,11175082,AAL
2015-02-06,48.84,49.47,47.89,48.145,8650092,AAL
2017-03-10,43.46,43.95,42.97,43.9,6842316,AAL
2015-02-17,149.91,151.38,148.86,150.23,1564383,AAP
2013-12-16,110.01,110.4,108.88,109.27,774387,AAP
2017-09-06,96.92,97.7,95.02,95.61,1893184,AAP
2016-04-25,157.59,158.31,155.63,157.39,618651,AAP
2016-06-24,151.0,155.97,150.915,154.52,1750826,AAP
2015-06-05,156.27,157.86,156.03,157.39,672610,AAP
2015-09-09,176.1,178.4,174.35,174.92,1024639,AAP
2016-01-05,152.35,153.79,149.89,151.2,1127677,AAP
2015-04-30,144.43,145.21,142.9,143.0,1269152,AAP
2016-06-28,154.87,157.16,154.28,156.98,1533726,AAP
2016-03-18,158.27,158.5,156.66,157.47,854195,AAP
2017-03-29,148.38,150.07,147.61,149.67,739014,AAP
2016-05-13,149.57,150.015,145.19,145.56,990130,AAP
2015-02-05,157.74,160.66,156.79,160.16,1294215,AAP
2013-10-16,97.26,99.3,95.15,96.16,7301816,AAP
2017-10-13,86.76,86.8726,85.4,85.51,1969473,AAP
2014-07-28,125.24,125.27,123.8,124.49,495457,AAP
2014-06-12,125.8,125.914,123.52,124.28,541918,AAP
2013-03-25,79.83,80.94,79.33,80.53,1150900,AAP
2014-09-11,135.01,135.56,133.58,134.42,554758,AAP
2013-03-27,81.02,81.7,80.9601,81.64,551193,AAP
2015-11-19,164.19,165.27,162.22,162.37,684246,AAP
2016-08-04,168.38,170.38,168.31,170.18,1102690,AAP
2016-07-05,162.46,163.64,160.32,161.19,754153,AAP
2014-05-02,121.26,123.03,121.15,121.69,449305,AAP
2014-08-19,133.41,134.9997,133.34,134.02,796679,AAP
2015-04-10,148.67,150.53,147.57,150.2,587907,AAP
2017-07-06,104.48,105.8299,102.25,103.16,2718737,AAP
2017-10-04,95.04,98.41,94.48,94.93,2780255,AAP
2015-04-21,153.28,154.66,152.18,152.4,898830,AAP
2016-07-25,98.25,98.84,96.92,97.34,40382921,AAPL
2015-05-11,127.39,127.56,125.625,126.32,42035757,AAPL
2015-09-30,110.17,111.54,108.73,110.3,66473033,AAPL
2014-12-01,118.81,119.25,111.27,115.07,83814037,AAPL
2017-05-05,146.76,148.98,146.76,148.96,27327725,AAPL
2016-09-29,113.16,113.8,111.8,112.18,35886990,AAPL
2017-11-22,173.36,175.0,173.05,174.96,25588925,AAPL
2013-11-12,73.9528,74.8456,73.8571,74.2871,51114651,AAPL
2013-12-18,78.5285,78.7785,76.9714,78.6813,141465807,AAPL
2015-11-05,121.85,122.69,120.18,120.92,39552680,AAPL
2017-09-28,153.89,154.28,152.7,153.28,22005455,AAPL
2014-04-21,75.0485,76.0199,74.8514,75.8814,45668931,AAPL
2016-12-28,117.52,118.0166,116.2,116.76,20905892,AAPL
2015-08-17,116.04,117.65,115.5,117.16,40884745,AAPL
2016-09-01,106.14,106.8,105.62,106.73,26701523,AAPL
2015-10-26,118.08,118.13,114.92,115.28,66333781,AAPL
2016-11-28,111.43,112.465,111.39,111.57,27193983,AAPL
2013-10-04,69.1228,69.2285,68.3714,69.0042,64673329,AAPL
2017-06-23,145.13,147.16,145.11,146.28,35439389,AAPL
2015-12-03,116.55,116.79,114.22,115.2,41569509,AAPL
2013-06-04,64.7456,64.9185,63.9128,64.1871,72860221,AAPL
2014-05-09,83.5056,83.7499,82.9042,83.6488,72899498,AAPL
2014-04-04,77.1156,77.1428,75.7971,75.9742,68812485,AAPL
2015-04-20,125.57,128.12,125.17,127.6,47054310,AAPL
2014-07-14,95.86,96.89,95.65,96.45,42810155,AAPL
2013-03-27,65.2085,65.2571,64.3899,64.5828,81854409,AAPL
2014-06-19,92.29,92.3,91.3389,91.86,35527686,AAPL
2016-03-18,106.34,106.5,105.19,105.92,44205171,AAPL
2013-07-12,61.0928,61.3985,60.4871,60.9299,69882694,AAPL
2017-07-24,150.58,152.44,149.9,152.09,21493160,AAPL
2017-10-09,90.57,91.19,90.1514,90.78,4331892,ABBV
2014-01-02,52.12,52.33,51.52,51.98,4569061,ABBV
2016-08-18,66.57,67.43,66.55,66.77,8205847,ABBV
2017-11-29,95.76,96.35,95.03,95.82,4081355,ABBV
2016-05-04,61.3,61.65,61.01,61.46,8691399,ABBV
2015-08-18,69.42,69.74,68.67,68.86,6376484,ABBV
2014-10-30,60.0,61.43,59.91,61.18,11635283,ABBV
2016-03-11,56.4,57.87,56.35,57.73,6537447,ABBV
2013-04-19,42.51,42.58,42.2,42.39,6493328,ABBV
2013-11-05,48.59,48.76,48.025,48.17,4095359,ABBV
2016-11-14,63.4,63.64,62.251,62.97,8315696,ABBV
2016-03-28,56.35,56.7,55.8,56.11,3803128,ABBV
2015-10-23,49.41,51.73,48.64,50.34,26214800,ABBV
2017-10-16,91.01,91.99,90.56,91.04,4640276,ABBV
2013-03-20,38.5,39.19,38.41,39.06,7073266,ABBV
2014-01-22,49.98,50.0,48.62,49.08,8181957,ABBV
2016-04-06,58.52,59.9,58.52,59.89,6322768,ABBV
2017-03-30,65.76,65.82,65.25,65.46,3749633,ABBV
2015-09-15,58.98,59.44,58.37,59.2,10474719,ABBV
2014-01-30,47.97,48.88,47.9,48.31,7670930,ABBV
2017-02-10,60.85,61.0,60.27,60.42,5749160,ABBV
2015-10-01,54.68,55.23,53.93,55.13,9255780,ABBV
2016-12-05,59.6,61.22,59.57,60.86,10227657,ABBV
2015-07-21,70.81,71.6,70.22,70.54,5028503,ABBV
2016-07-14,63.7,64.14,62.94,63.62,12090057,ABBV
2016-04-11,58.59,59.25,58.25,58.5,4893954,ABBV
2016-03-07,55.7,56.5,54.83,56.4,7741842,ABBV
2018-01-24,105.26,106.23,104.1,105.51,4436532,ABBV
2013-03-15,37.44,38.54,37.28,38.5,12208850,ABBV
2017-08-31,74.11,75.4,73.9201,75.3,6177574,ABBV
2014-10-30,87.95,88.78,87.54,88.71,1323449,ABC
2016-12-20,78.7,80.06,78.56,79.3,2934896,ABC
2014-09-09,78.22,78.33,77.83,78.0,1084259,ABC
2015-05-08,114.54,116.0,114.53,115.3,2486790,ABC
2015-12-03,99.01,99.21,98.03,98.71,2629090,ABC
2015-07-08,107.54,108.56,107.39,107.83,1174182,ABC
2013-10-14,62.46,63.14,62.18,63.11,1068126,ABC
2016-03-22,87.27,87.5315,86.62,87.16,1687835,ABC
2013-09-23,61.68,61.83,61.281,61.57,813104,ABC
2015-02-06,96.95,98.23,96.59,97.04,2015514,ABC
2016-04-12,84.61,85.15,84.0499,84.9,1735067,ABC
2016-09-26,83.07,83.56,82.67,82.72,1339953,ABC
2015-09-25,102.39,102.465,99.39,99.84,1768355,ABC
2014-10-21,76.2,76.86,76.02,76.62,3045483,ABC
2015-06-11,108.92,111.1396,108.8,110.41,1906301,ABC
2015-03-20,112.98,114.5,112.84,113.46,4380904,ABC
2018-01-12,98.5,99.0,97.55,99.0,1469349,ABC
2017-12-07,86.27,86.84,85.43,85.93,1763704,ABC
2014-01-21,70.88,71.17,70.27,70.52,1368005,ABC
2014-09-10,78.15,78.34,77.82,77.96,913905,ABC
2015-01-20,93.01,93.42,91.39,92.44,1179964,ABC
2014-08-19,76.68,77.1,76.63,76.93,715761,ABC
2014-01-08,70.33,71.412,70.28,71.14,2084010,ABC
2014-11-04,86.63,88.215,86.495,88.19,2796558,ABC
2018-01-23,103.0,103.67,102.1,102.81,1371502,ABC
2018-02-01,97.74,99.81,95.73,99.29,2786798,ABC
2015-11-02,97.51,98.05,96.56,97.83,2434245,ABC
2013-06-19,55.78,56.39,55.39,55.56,2227143,ABC
2013-02-15,46.77,47.09,46.51,46.6,2962354,ABC
2016-02-18,87.03,87.49,86.59,86.69,2225791,ABC
2018-01-17,58.76,59.1,58.625,58.99,5037504,ABT
2014-12-12,44.12,44.55,43.67,43.69,5191443,ABT
2015-05-05,47.02,47.21,46.78,46.85,4377667,ABT
2016-07-01,39.31,39.71,39.16,39.54,6904578,ABT
2014-12-11,44.51,45.12,44.3,44.46,3954331,ABT
2013-10-25,37.24,37.37,36.975,37.25,6310216,ABT
2013-08-22,34.67,34.75,34.43,34.67,4197546,ABT
2014-10-28,42.22,42.51,41.95,42.5,6106167,ABT
2013-04-15,36.84,37.09,36.11,36.13,8227744,ABT
2014-07-24,42.94,43.17,42.74,42.89,4890718,ABT
2014-01-22,38.02,38.87,36.94,38.07,12970242,ABT
2017-03-16,45.17,45.37,44.615,44.98,6704220,ABT
2015-01-26,43.74,44.1968,43.42,44.15,4376220,ABT
2017-11-14,55.05,55.21,54.76,55.01,6180407,ABT
2014-02-04,35.9,36.44,35.85,36.25,8237356,ABT
2016-10-19,40.52,41.38,39.94,40.01,19300013,ABT
2014-08-12,41.91,42.11,41.42,41.57,3337455,ABT
2016-08-08,45.06,45.41,44.88,45.02,7657947,ABT
2018-01-05,59.04,59.09,58.635,58.99,5836945,ABT
2013-03-12,34.83,35.0,34.8,34.98,4979949,ABT
2014-01-30,36.24,36.62,36.14,36.53,9579843,ABT
2015-06-15,48.3,48.36,47.72,48.07,4807120,ABT
2016-08-01,44.75,45.58,44.72,45.29,12152584,ABT
2014-11-26,44.16,44.43,43.99,44.25,2876740,ABT
2013-08-15,35.51,35.57,34.95,35.03,6521173,ABT
2016-10-31,39.43,39.54,39.22,39.24,8241729,ABT
2015-07-22,49.87,51.09,49.255,50.98,10392287,ABT
2016-12-23,38.33,38.65,38.22,38.42,4625616,ABT
2017-04-10,43.83,43.96,43.54,43.59,4321303,ABT
2017-10-17,54.59,55.23,54.4,55.06,5432973,ABT
2016-12-01,119.5,120.05,117.12,117.66,2260397,ACN
2015-10-14,102.22,102.95,101.2,102.43,2421141,ACN
2015-07-31,103.0,103.99,102.93,103.11,2402146,ACN
2014-02-06,77.87,78.74,77.79,78.52,2224827,ACN
2014-08-15,79.48,79.929,78.6,79.01,2533813,ACN
2016-06-09,118.35,119.53,117.8,119.44,1197211,ACN
2017-09-27,137.32,137.54,136.12,136.64,3885524,ACN
2016-03-01,101.38,103.45,101.0,103.45,2125536,ACN
2017-04-13,115.36,115.89,114.82,114.86,1838948,ACN
2015-03-25,89.41,89.95,88.18,88.21,3607111,ACN
2016-06-23,118.54,118.91,116.5,118.91,2858771,ACN
2015-08-27,96.21,96.5,93.96,95.73,3993105,ACN
2016-06-06,119.0,119.76,118.52,119.6,1202927,ACN
2017-01-10,114.94,115.99,114.64,115.06,2550138,ACN
2016-10-25,115.54,115.87,114.95,115.27,1456836,ACN
2015-11-17,106.4,106.95,105.375,106.29,2898809,ACN
2015-07-13,99.35,100.765,99.09,100.55,3488890,ACN
2017-02-13,117.9,118.95,117.725,118.59,1988541,ACN
2015-09-09,97.42,97.85,95.33,95.52,2099722,ACN
2018-01-04,155.0,156.86,154.77,156.38,1777024,ACN
2014-01-02,81.5,81.92,81.09,81.13,2405384,ACN
2013-06-14,80.91,81.65,80.325,80.55,1367384,ACN
2014-09-24,77.95,80.43,77.5603,80.2,6875316,ACN
2013-02-22,74.15,74.8,73.95,74.8,1930654,ACN
2014-10-21,76.83,78.22,76.584,77.93,2382782,ACN
2017-04-07,117.0,117.74,116.5,117.44,2408028,ACN
2014-11-03,81.03,81.37,80.67,80.97,2306760,ACN
2014-05-28,80.06,80.1475,79.46,79.58,1943166,ACN
2016-07-15,116.48,116.64,114.25,115.09,2749041,ACN
2013-11-18,78.02,79.45,77.96,78.52,3836556,ACN
2017-06-19,138.79,141.47,138.635,140.35,4356865,ADBE
2015-08-27,78.41,79.28,77.39,78.91,5197157,ADBE
2015-04-21,74.31,74.88,74.21,74.62,1894585,ADBE
2014-07-02,72.65,73.24,72.6,72.76,2682086,ADBE
2016-12-23,104.61,105.42,104.61,105.02,1047659,ADBE
2016-07-05,94.55,95.61,94.15,94.73,2314559,ADBE
2013-03-07,41.4,41.59,41.2,41.5,2678444,ADBE
2014-10-21,64.84,66.56,64.51,66.425,3229897,ADBE
2015-08-25,77.02,78.33,74.47,74.57,7465401,ADBE
2017-01-18,108.5,109.17,107.53,108.79,2537255,ADBE
2017-02-17,118.79,119.72,118.24,119.67,2143337,ADBE
2016-03-31,93.76,94.58,93.23,93.8,6561355,ADBE
2013-09-20,51.87,52.96,51.68,52.31,12323349,ADBE
2013-10-17,51.87,52.31,51.7,52.065,3776599,ADBE
2013-02-13,38.9,39.15,38.67,38.81,2490936,ADBE
2018-01-29,200.11,200.86,197.87,198.23,1938978,ADBE
2013-06-04,43.67,44.8,43.53,44.39,5249270,ADBE
2013-11-14,57.56,57.99,56.91,57.17,4571882,ADBE
2015-12-14,91.71,93.31,91.02,93.26,3792644,ADBE
2015-03-16,78.21,78.5899,77.8,78.33,1851377,ADBE
2014-03-21,69.06,69.06,66.91,67.14,5477183,ADBE
2014-02-24,68.54,69.28,68.0,68.765,2811705,ADBE
2015-12-30,95.19,96.02,95.0,95.28,1153823,ADBE
2014-06-19,73.17,73.57,72.2401,72.95,4413446,ADBE
2017-01-11,108.23,109.05,108.0,108.99,1783953,ADBE
2015-09-04,76.99,78.27,76.39,76.89,2326519,ADBE
2013-03-14,41.82,41.93,41.44,41.62,2762856,ADBE
2013-08-20,44.77,45.45,44.7,45.07,2214429,ADBE
2013-12-05,55.63,55.75,54.47,55.04,7792707,ADBE
2013-12-31,59.6,59.915,59.56,59.879,1391266,ADBE
2017-05-23,82.09,82.32,80.9,81.96,2146525,ADI
2015-07-02,64.58,64.9,63.9,64.38,1861017,ADI
2017-04-25,79.4,79.73,78.95,79.35,2570298,ADI
2017-06-13,80.15,81.73,80.15,81.23,4063417,ADI
2016-01-04,54.24,54.47,53.63,54.44,2648908,ADI
2015-07-20,62.61,62.73,61.95,61.99,1395250,ADI
2013-08-09,49.07,49.23,48.76,49.0,1187861,ADI
2016-06-02,57.2,58.34,57.2,58.28,1708151,ADI
2015-07-14,62.0,62.77,61.9,62.62,1968295,ADI
2017-07-17,81.61,81.85,80.94,81.09,1483272,ADI
2016-07-22,60.05,60.435,59.66,60.4,823680,ADI
2017-08-17,79.8,79.89,77.55,77.56,2064511,ADI
2013-09-10,47.73,47.945,47.52,47.879,1686180,ADI
2017-03-20,83.26,83.7,82.88,82.9,2713967,ADI
2015-12-02,61.33,61.97,60.62,60.74,2031106,ADI
2017-01-30,76.76,76.76,75.23,76.28,2477104,ADI
2017-07-11,78.95,80.36,78.27,79.86,2763005,ADI
2016-07-19,60.09,60.48,59.89,60.27,1366072,ADI
2013-07-16,48.47,48.64,48.28,48.52,1201028,ADI
2013-08-02,49.73,49.88,49.26,49.87,1384071,ADI
2013-12-18,48.9,49.78,48.63,49.78,1772516,ADI
2014-10-24,46.7,47.11,46.25,46.85,1862760,ADI
2015-06-26,66.37,67.17,65.26,65.8,5640186,ADI
2013-07-22,48.49,48.49,47.76,47.94,2275541,ADI
2014-07-14,54.76,54.9295,53.76,53.85,2179407,ADI
2015-11-05,60.83,60.92,60.05,60.36,1202540,ADI
2017-03-15,83.45,83.67,82.555,83.51,4499154,ADI
2015-01-28,53.87,54.32,52.83,52.925,1687796,ADI
2016-12-20,72.92,73.59,72.81,73.4,1729600,ADI
2013-10-31,48.82,49.54,48.82,49.3,2107760,ADI
2015-09-24,41.86,42.26,41.31,42.02,4725202,ADM
2016-12-27,45.22,45.72,45.17,45.65,1558063,ADM
2013-11-27,41.68,41.85,41.27,41.49,2285430,ADM
2014-04-16,44.54,45.02,44.44,45.02,2761697,ADM
2017-04-17,44.29,44.75,44.29,44.68,2943964,ADM
2013-11-07,41.78,41.86,41.14,41.23,5913698,ADM
2017-07-06,41.7,41.805,41.1,41.1,2724985,ADM
2013-10-22,38.67,39.59,38.63,39.49,5173605,ADM
2013-04-22,32.16,32.315,31.9,32.22,3324545,ADM
2017-10-12,43.23,43.54,43.23,43.44,1771856,ADM
2017-05-05,42.67,42.84,42.17,42.43,3244159,ADM
2015-09-25,42.5,43.0437,42.27,42.5,3433824,ADM
2015-10-13,45.17,45.5001,44.85,44.92,2630403,ADM
2015-08-25,44.39,44.56,42.98,43.01,5854948,ADM
2013-03-08,32.48,32.77,32.385,32.54,4476075,ADM
2017-04-03,46.2,46.26,45.535,45.8,2300259,ADM
2014-05-12,44.6,44.74,44.335,44.67,2405243,ADM
2015-01-28,48.3,48.6,47.42,47.49,3277861,ADM
2014-02-05,38.75,38.83,37.92,38.66,8799086,ADM
2015-12-17,35.33,35.45,34.27,34.29,4872309,ADM
2014-02-19,40.5,40.53,39.89,39.95,4449254,ADM
2017-01-23,44.62,44.73,44.13,44.71,1973308,ADM
2015-07-30,47.71,47.9,47.32,47.82,3660749,ADM
2015-10-07,43.91,44.82,43.71,44.31,3898286,ADM
2015-11-13,38.41,38.86,37.69,37.76,6555957,ADM
2016-10-12,42.32,42.65,42.1,42.39,1823783,ADM
2017-08-15,41.68,42.16,41.41,42.05,4097909,ADM
2016-01-13,34.34,34.55,33.42,33.47,4468066,ADM
2013-10-24,39.27,39.39,39.0048,39.18,2388836,ADM
2014-11-24,52.74,53.33,52.61,52.95,2709607,ADM
